sample1,sample2,sample3,sample4,category
3468.469238,6018.166504,-2190.143311,6513.086426,0
4377.955078,5402.739746,-2429.35498,7297.449707,0
4692.475098,6222.243652,-2097.414551,7522.694824,0
4130.319336,6115.806152,-2888.137695,7137.133301,0
3950.463867,5915.186523,-3171.666992,6937.179688,0
4301.006348,6450.977539,-2897.82959,7115.099609,0
3386.892578,7025.506836,-2675.154297,6339.40332,0
2988.036133,6168.463867,-3050.105225,6040.01709,0
3678.550537,6362.884277,-2195.37915,6543.323242,0
3725.727539,6445.351074,-2020.656738,6604.827637,0
3507.998047,6023.726074,-2195.736328,6561.187012,0
4326.779785,5404.858398,-2451.515625,7244.449707,0
4700.939941,6226.190918,-2114.432861,7535.868652,0
4190.211914,6147.020996,-2865.505615,7197.676758,0
3927.042725,5920.914063,-3161.631104,6906.806152,0
4274.11084,6443.806641,-2902.816895,7098.503906,0
3433.430176,7031.713379,-2664.893799,6372.020996,0
2983.381836,6176.925293,-3048.289551,6011.449707,0
3619.035645,6355.503906,-2219.155762,6479.765625,0
3738.983643,6444.141113,-2013.994141,6620.817871,0
3529.612793,6028.668457,-2192.088135,6576.48877,0
4266.958496,5396.542969,-2462.015381,7183.397949,0
4705.48584,6221.245117,-2123.668457,7520.884766,0
4214.990723,6135.365723,-2863.626465,7222.608887,0
3897.114014,5924.390625,-3175.507813,6902.712891,0
4237.674805,6421.743164,-2932.663086,7052.901367,0
3472.760742,7028.984863,-2668.897217,6409.100098,0
2993.975098,6174.601074,-3051.893066,6038.891113,0
3561.884521,6335.63916,-2231.529053,6435.692871,0
3755.422363,6444.719238,-2002.02832,6642.70166,0
3551.111572,6020.494629,-2184.935547,6611.694336,0
4222.130371,5371.218262,-2474.598389,7158.233887,0
4702.683105,6199.742676,-2116.052246,7539.79541,0
4259.504883,6143.240234,-2843.963867,7270.137207,0
3884.47876,5921.991211,-3162.925049,6885.885254,0
4210.009277,6416.254883,-2924.212891,7028.373535,0
3513.086182,7043.28418,-2645.823975,6470.788086,0
3007.601318,6188.45166,-3035.962891,6038.45166,0
3525.541992,6332.3125,-2235.091309,6376.069336,0
3801.641846,6463.109863,-1994.991699,6666.953125,0
3583.923584,6062.087891,-2160.403809,6634.719238,0
4173.790039,5387.870117,-2471.39502,7103.135742,0
4706.866211,6205.967773,-2105.447754,7537.392578,0
4306.760254,6163.714355,-2819.046875,7314.285156,0
3875.609619,5927.57666,-3165.776611,6875.991211,0
4178.850098,6417.416016,-2936.384277,7004.761719,0
3560.195801,7066.720703,-2622.271973,6490.787109,0
3026.179199,6197.780762,-3020.530273,6062.781738,0
3475.425537,6329.202637,-2249.368408,6322.987305,0
3834.532471,6460.733398,-1999.69458,6708.262207,0
3621.881836,6075.609375,-2137.150879,6682.57666,0
4143.5625,5389.891602,-2479.385254,7074.591309,0
4717.062988,6215.423828,-2103.411377,7553.632813,0
4352.516113,6186.877441,-2803.685303,7359.23291,0
3867.840088,5923.31543,-3167.2146,6862.387207,0
4158.009766,6399.967285,-2939.61377,6966.15625,0
3606.075195,7073.70459,-2606.809326,6550.444336,0
3006.348389,6200.733398,-3023.019043,6048.231445,0
3429.493896,6318.063477,-2265.190186,6289.348633,0
3847.612793,6462.163574,-1984.456421,6723.15625,0
3650.011475,6078.693359,-2124.00708,6698.024414,0
4102.739258,5378.759766,-2492.394531,7017.877441,0
4695.407227,6213.106934,-2126.757568,7527.354492,0
4390.130371,6191.165039,-2802.63623,7394.416016,0
3835.147705,5927.184082,-3172.519775,6819.754395,0
4105.473145,6389.961426,-2956.662109,6912.562012,0
3654.28418,7081.059082,-2600.509521,6588.024414,0
3018.598633,6210.721191,-3013.689941,6044.097168,0
3380.686279,6298.96582,-2284.691895,6223.8125,0
3879.272949,6474.40625,-1977.614258,6756.83252,0
3664.987793,6103.43457,-2109.81958,6708.363281,0
4061.52002,5364.145996,-2510.792969,6975.038574,0
4687.401855,6196.443848,-2126.737061,7520.063477,0
4437.47168,5223.61377,-2782.300537,7435.957031,0
3807.014404,4961.499023,-3162.689453,6826.432129,0
4076.281494,5401.455078,-2970.703613,6893.867676,0
3699.075195,6111.334961,-2586.927979,6643.597656,0
3004.960938,5229.563965,-3000.497314,6055.936035,0
3343.94751,5317.053223,-2290.396973,6212.59082,0
3897.802246,5469.403809,-1982.739746,6770.963379,0
3699.617432,5114.161621,-2094.962891,6755.255859,0
4021.774414,4365.882324,-2527.272949,6951.385742,0
4680.634277,5209.257813,-2149.219482,7510.109863,0
4475.4375,4244.996094,-2765.663574,7485.983887,0
3787.759521,3964.338867,-3181.454346,6791.039551,0
4037.362305,4406.737305,-2996.93335,6853.568848,0
3751.648926,5134.4375,-2579.831543,6688.448242,0
3017.4729,4253.507813,-3002.713379,6049.265625,0
3288.684814,4307.368164,-2314.281982,6155.297363,0
3922.098633,4503.075195,-1983.87854,6796.688477,0
3733.633789,4151.584473,-2089.340088,6784.380371,0
3962.618408,3394.561279,-2527.566406,6901.946289,0
4682.128418,4219.338379,-2148.611816,7507.837891,0
4531.918945,3292.938965,-2753.327393,6553.079102,0
3780.505859,2975.963623,-3183.939453,5779.458008,0
4008.252686,3426.111084,-3005.45459,5832.813477,0
3802.894775,4167.817383,-2557.517578,5770.110352,0
-6787.091797,-1613.168457,-2014.070801,-6699.557617,0
-6543.128906,-1563.646606,-1345.763672,-6617.90625,0
-5853.130371,-1375.303345,-1003.531067,-5917.765137,0
-6041.378418,-1726.240601,-1105.088135,-5931.326172,0
-5856.191406,-2496.334717,-1568.644897,-5873.557617,0
-5131.225098,-1661.86377,-1170.654175,-5250.402344,0
-5221.087402,-2583.734131,-1759.108643,-6137.75,0
-6060.40332,-2901.606934,-2216.075928,-6989.773926,0
-5832.671387,-2480.769043,-2037.505005,-6936.59082,0
-5953.866699,-1721.260864,-1589.332153,-7902.51709,0
-6789.498535,-2597.482178,-2034.125977,-8641.910156,0
-6591.274414,-2560.578613,-1356.805786,-8629.798828,0
-5824.978516,-2356.565186,-995.480957,-7861.87207,0
-6016.827637,-2691.009521,-1088.421265,-7866.180176,0
-5905.077637,-3514.744873,-1586.654419,-6898.04541,0
-5138.388672,-2655.990967,-1181.13147,-6235.927734,0
-5177.605469,-3545.941162,-1744.132324,-7087.914551,0
-6075.308594,-3877.341309,-2207.524658,-7989.708984,0
-5855.796875,-3456.316406,-2044.721069,-7952.076172,0
-5926.810059,-2694.422119,-1583.155762,-8875.37207,0
